question,option_1,option_2,option_3,option_4,correct_option,topic
تُعرّف اتفاقية سيداو بأنها اتفاقية دولية تهدف إلى القضاء على جميع أشكال التمييز ضد ___.,المرأة,الأقليات فقط,,,option_1,حقوق الإنسان
من أبرز الانتقادات الموجهة لاتفاقية سيداو أنها قد تتعارض مع الخصوصيات الثقافية والدينية لبعض ___.,المجتمعات,الأنظمة الاقتصادية,,,option_1,حقوق الإنسان
حقوق الإنسان في الإسلام تقوم على مبدأ تكريم الإنسان، وتُعد حقوقًا ثابتة تستمد مصدرها من ___.,الشريعة الإسلامية,الإرادة السياسية,,,option_1,حقوق الإنسان
يؤكد الإسلام على مبدأ المساواة بين الناس، ويجعل معيار التفاضل بينهم هو ___.,التقوى,الانتماء الاجتماعي,,,option_1,حقوق الإنسان
يُعد الحق في الحياة من الحقوق الأساسية في الإسلام، ولا يجوز الاعتداء عليه إلا وفق ضوابط ___.,شرعية وقانونية,عرفية,,,option_1,حقوق الإنسان
تكفل الشريعة الإسلامية حق الإنسان في الكرامة الإنسانية، وتحرّم كل ما يمسها من ___.,إهانة أو استعباد,اختلاف فكري,,,option_1,حقوق الإنسان
تسعى الآليات الدولية لحقوق الإنسان إلى مراقبة مدى التزام الدول بتعهداتها من خلال ___.,تقارير ولجان دولية,إجراءات اقتصادية,,,option_1,حقوق الإنسان
تُعد التقارير الدورية التي تقدمها الدول إحدى الوسائل الأساسية لمتابعة تنفيذ ___.,اتفاقيات حقوق الإنسان,السياسات الداخلية,,,option_1,حقوق الإنسان
تهدف الحماية الدولية لحقوق الإنسان إلى منع الانتهاكات الجسيمة وضمان محاسبة ___.,المسؤولين عنها,الضحايا,,,option_1,حقوق الإنسان
يقوم نظام حقوق الإنسان الدولي على مبدأ التعاون بين الدول لتحقيق احترام الحقوق على أساس ___.,المسؤولية المشتركة,السيادة المطلقة,,,option_1,حقوق الإنسان
تُعد حقوق الإنسان إطارًا قانونيًا وأخلاقيًا يهدف إلى تنظيم العلاقة بين الفرد و ___.,السلطة,الاقتصاد,,,option_1,حقوق الإنسان
إن فعالية حقوق الإنسان تعتمد على وجود تشريعات وطنية وآليات تنفيذية تضمن ___.,تطبيقها العملي,صياغتها النظرية فقط,,,option_1,حقوق الإنسان
يُعد التعليم بحقوق الإنسان وسيلة أساسية لنشر ثقافة الحقوق وتعزيز ___.,الوعي المجتمعي,الرقابة الأمنية,,,option_1,حقوق الإنسان
تُعد حقوق الإنسان إطارًا قانونيًا وأخلاقيًا ينظم علاقة الفرد بالسلطة العامة، ويهدف إلى الحد من تعسفها وضمان ___.,حماية الحريات الأساسية,تعزيز النفوذ السياسي,,,option_1,حقوق الإنسان
يقصد بمبدأ عدم التمييز في حقوق الإنسان ضمان تمتع جميع الأفراد بالحقوق نفسها دون استثناء قائم على الجنس أو العرق أو ___.,الدين أو الرأي,الموقع الجغرافي فقط,,,option_1,حقوق الإنسان
تُعد قابلية حقوق الإنسان للتطور خاصية تعكس تأثر هذه الحقوق بالتغيرات الاجتماعية والسياسية دون المساس بـ ___.,جوهرها الأساسي,طبيعتها القانونية,,,option_1,حقوق الإنسان
إن تصنيف حقوق الإنسان إلى أجيال يهدف إلى بيان تطورها التاريخي ولا يعني ___.,تفاضلًا في الأهمية,تنوعًا في المجالات,,,option_1,حقوق الإنسان
الجيل الأول من حقوق الإنسان يركز على الحقوق المدنية والسياسية التي تهدف أساسًا إلى ___.,تقييد سلطة الدولة,تنظيم الاقتصاد,,,option_1,حقوق الإنسان
الجيل الثاني من حقوق الإنسان يرتبط بالحقوق الاقتصادية والاجتماعية والثقافية التي تتطلب من الدولة ___.,تدخلًا إيجابيًا,امتناعًا تامًا,,,option_1,حقوق الإنسان
أما الجيل الثالث من حقوق الإنسان فيرتبط بحقوق جماعية مثل الحق في التنمية والبيئة السليمة، ويعتمد على ___.,التعاون الدولي,الجهود الفردية,,,option_1,حقوق الإنسان
تُعد الحقوق الجماعية امتدادًا طبيعيًا لتطور المجتمع الدولي وظهور مصالح تتجاوز الفرد إلى ___.,المجتمع ككل,الدولة فقط,,,option_1,حقوق الإنسان
تكمن أهمية الإعلان العالمي لحقوق الإنسان في كونه أول وثيقة دولية شاملة تحدد حقوق الإنسان بصورة ___.,موحدة,محلية,,,option_1,حقوق الإنسان
رغم أن الإعلان العالمي لحقوق الإنسان غير ملزم قانونيًا، إلا أنه اكتسب قوة قانونية من خلال ___.,العرف الدولي,التشريعات الوطنية فقط,,,option_1,حقوق الإنسان
تُعد الاتفاقيات الدولية لحقوق الإنسان أدوات قانونية تُنشئ التزامات محددة على الدول بعد ___.,التصديق عليها,التوقيع الشكلي,,,option_1,حقوق الإنسان
يقصد بالقيمة القانونية للاتفاقيات الدولية مدى إلزامها للدول وإمكانية ___.,محاسبتها عند الإخلال,تجاهلها سياسيًا,,,option_1,حقوق الإنسان
العهد الدولي الخاص بالحقوق المدنية والسياسية يمنح الأفراد الحق في اللجوء إلى آليات دولية عند ___.,استنفاد الوسائل الداخلية,بدء النزاع,,,option_1,حقوق الإنسان
يرتبط تنفيذ حقوق الإنسان بوجود قضاء مستقل قادر على ضمان ___.,سيادة القانون,تفوق السلطة التنفيذية,,,option_1,حقوق الإنسان
تسهم المؤسسات الوطنية لحقوق الإنسان في رصد الانتهاكات وتقديم التوصيات بهدف ___.,تحسين أوضاع الحقوق,فرض العقوبات,,,option_1,حقوق الإنسان
يُعد الحق في اللجوء إلى القضاء من الضمانات الأساسية لحماية حقوق الإنسان وتحقيق ___.,الإنصاف,الردع فقط,,,option_1,حقوق الإنسان
ترتكز حقوق الإنسان في الإسلام على مبدأ تحقيق العدل ومنع الظلم بين الناس دون ___.,تمييز أو تفريق,تنظيم تشريعي,,,option_1,حقوق الإنسان
يؤكد الإسلام على حماية الحقوق الأساسية للإنسان باعتبارها واجبات شرعية قبل أن تكون ___.,حقوقًا قانونية,مطالب اجتماعية,,,option_1,حقوق الإنسان
يُعد مبدأ المسؤولية في حقوق الإنسان أساسًا لمساءلة الأفراد والسلطات عن أي ___.,انتهاك للحقوق,اختلاف فكري,,,option_1,حقوق الإنسان
إن احترام حقوق الإنسان يُعد شرطًا أساسيًا لتحقيق الاستقرار المجتمعي وبناء ___.,دولة القانون,النفوذ السياسي,,,option_1,حقوق الإنسان
