question,option_1,option_2,option_3,option_4,correct_option,topic
أي الكلمات الآتية من كلمات الظاء المحفوظة؟,اليقظة,الضياء,الضرب,الضيق,option_1,الضاد والظاء
يُعرف حرف الظاء أثناء النطق بأنه:,يخرج طرف اللسان مع الأسنان العليا,يخرج من الحلق,يخرج من الشفتين,يخرج من وسط اللسان,option_1,الضاد والظاء
اللغة العربية تُسمّى لغة الضاد بسبب:,تفردها بهذا الحرف,كثرة استخدامه,سهولة نطقه,تشابهه مع الظاء,option_1,الضاد والظاء
الغاية الأساسية من المقدمة الطللية هي:,استمالة السامع وإثارة العاطفة,شرح موضوع القصيدة,الإيجاز,الانتقال المباشر للمدح,option_1,الأدب الجاهلي
من خصائص القصيدة الجاهلية:,تعدد الأغراض,الاقتصار على غرض واحد,غياب المقدمة,الاعتماد على النثر,option_1,الأدب الجاهلي
اشتهر عنترة بن شداد بـ:,الجمع بين الفروسية والشعر,الخطابة,النثر,الحكمة فقط,option_1,عنترة بن شداد
تنتمي معلقة عنترة إلى الشعر:,الجاهلي,الأموي,العباسي,الأندلسي,option_1,عنترة بن شداد
من أبرز موضوعات شعر عنترة:,الفروسية والغزل,الزهد,السياسة,التصوف,option_1,عنترة بن شداد
تُعد معلقة عنترة مثالًا على:,تعدد الأغراض الشعرية,الشعر التعليمي,الشعر المسرحي,الشعر السياسي,option_1,عنترة بن شداد
البيئة التي نشأ فيها الشعر الجاهلي هي:,البيئة البدوية,البيئة الحضرية,البيئة الزراعية,البيئة البحرية,option_1,الأدب الجاهلي
