lecture_number,lecture_name,question,option_1,option_2,option_3,option_4,correct_option
2,حياة عنترة,ينعكس الصراع الاجتماعي في شعر عنترة عبر:,الفخر بالنفس,الهجاء,المديح,الرثاء,option_1
3,طريقة كتابة حرفي ض و ظ,الفرق الأساسي بين ض و ظ هو:,المخرج الصوتي,الشكل فقط,المعنى دائمًا,العدد,option_1
3,طريقة كتابة حرفي ض و ظ,حرف الضاد يتميز بـ:,الاستطالة,الهمس,الترقيق,الشدة,option_1
3,طريقة كتابة حرفي ض و ظ,الخلط بين ض و ظ سببه:,تشابه النطق,تشابه الكتابة,اختلاف المعنى,قلة القواعد,option_1
3,طريقة كتابة حرفي ض و ظ,من طرق التمييز بين ض و ظ:,الحفظ والسماع,القياس الرياضي,التخمين,التكرار فقط,option_1
3,طريقة كتابة حرفي ض و ظ,اللغة العربية تُسمى لغة الضاد بسبب:,خصوصية نطقه,كثرة استعماله,جمال شكله,ندرته,option_1
3,طريقة كتابة حرفي ض و ظ,كلمة (ظلم) تُكتب بالظاء لأنها:,من أصل ظائي,تشبه كلمة ضوء,لها نفس المعنى,قاعدة عامة,option_1
3,طريقة كتابة حرفي ض و ظ,كلمة (أرض) تحتوي على:,ضاد,ظاء,همزة,دال,option_1
3,طريقة كتابة حرفي ض و ظ,التمييز الصحيح بين الحرفين يحتاج إلى:,تدريب لغوي,حفظ آلي فقط,ذكاء رياضي,سرعة كتابة,option_1
4,الهمزة,تُكتب الهمزة المتوسطة حسب:,أقوى الحركتين,موقعها فقط,شكل الكلمة,عدد الحروف,option_1
4,الهمزة,أقوى الحركات ترتيبًا هي:,الكسرة,الضمة,الفتحة,السكون,option_1
4,الهمزة,الهمزة المتوسطة على ياء تكون إذا كانت:,مكسورة,مفتوحة,مضمومة,ساكنة,option_1
4,الهمزة,الهمزة المتطرفة تعتمد كتابتها على:,حركة ما قبلها,حركتها هي,موقعها,عدد الحروف,option_1
4,الهمزة,تكتب الهمزة المتطرفة على ألف إذا سبقها:,فتح,كسر,ضم,سكون,option_1
4,الهمزة,من أخطاء كتابة الهمزة:,إهمال القاعدة,زيادة الحروف,نقص التنوين,تغيير المعنى دائمًا,option_1
4,الهمزة,كلمة (مساء) همزتها:,متطرفة,متوسطة,أصلية,وصل,option_1
4,الهمزة,تسهّل قواعد الهمزة:,الكتابة الصحيحة,النطق,الحفظ,القراءة السريعة,option_1
4,الهمزة,كتابة الهمزة الصحيحة تمنع:,الخطأ الإملائي,الخطأ النحوي,اللبس الصوتي,الحذف,option_1
4,الهمزة,تعلم الهمزة يحتاج إلى:,تطبيق عملي,حفظ نظري فقط,قراءة شعر,إملاء صوتي,option_1
5,واجب الهمزة,هدف واجب الهمزة هو:,التدريب العملي,الحفظ,الامتحان فقط,التلخيص,option_1
5,واجب الهمزة,الخطأ في الواجب يدل على:,حاجة لمراجعة القاعدة,ضعف عام,عدم الفهم الكلي,قلة الذكاء,option_1
5,واجب الهمزة,يُصحح واجب الهمزة بناءً على:,القواعد الإملائية,المعنى,السرعة,الخط,option_1
5,واجب الهمزة,التكرار في حل الواجب يؤدي إلى:,تحسين المهارة,الملل,النسيان,الخلط,option_1
5,واجب الهمزة,الالتزام بالقاعدة في الواجب يحقق:,الكتابة الصحيحة,الجمال فقط,السرعة,الاختصار,option_1
6,المبتدأ والخبر,المبتدأ هو:,اسم مرفوع يُبتدأ به,فعل,حرف,مفعول به,option_1
6,المبتدأ والخبر,الخبر هو:,ما يتم به معنى الجملة,اسم فقط,فعل فقط,حرف فقط,option_1
6,المبتدأ والخبر,الأصل في المبتدأ أن يكون:,معرفة,نكرة,فعل,حرف,option_1
6,المبتدأ والخبر,يجوز تقديم الخبر إذا كان:,شبه جملة,نكرة بلا مسوغ,فعلًا,مضافًا,option_1
6,المبتدأ والخبر,الجملة الاسمية تتكون من:,مبتدأ وخبر,فعل وفاعل,فعل ومفعول,حرف واسم,option_1
6,المبتدأ والخبر,من أنواع الخبر:,مفرد وجملة,اسم فقط,فعل فقط,حرف فقط,option_1
6,المبتدأ والخبر,يُحذف المبتدأ أحيانًا إذا:,دل عليه السياق,كان معرفة,كان نكرة,كان جمعًا,option_1
6,المبتدأ والخبر,الخبر المفرد يكون:,كلمة واحدة,جملة,شبه جملة,فعلًا,option_1
6,المبتدأ والخبر,تقديم الخبر يفيد:,التخصيص,الإنكار,التهكم,التقليل,option_1
6,المبتدأ والخبر,إعراب المبتدأ دائمًا:,مرفوع,منصوب,مجرور,مجزوم,option_1
7,أسئلة المبتدأ والخبر,في جملة (العلم نور) الخبر هو:,نور,العلم,العلم نور,لا خبر,option_1
7,أسئلة المبتدأ والخبر,في (في البيت رجل) الخبر:,في البيت,رجل,البيت,لا خبر,option_1
7,أسئلة المبتدأ والخبر,يكون المبتدأ نكرة إذا:,وُجد مسوغ,كان دائمًا,كان علمًا,كان مضافًا,option_1
7,أسئلة المبتدأ والخبر,الخبر الجملة يجب أن تشتمل على:,رابط,مبتدأ,فعل,حرف,option_1
7,أسئلة المبتدأ والخبر,تقديم الخبر على المبتدأ واجب إذا كان:,المبتدأ نكرة,الخبر معرفة,الخبر فعل,المبتدأ معرفة,option_1
7,أسئلة المبتدأ والخبر,في (لله الأمر) الخبر هو:,لله,الأمر,الأمر لله,لا خبر,option_1
7,أسئلة المبتدأ والخبر,المسند إليه في الجملة الاسمية هو:,المبتدأ,الخبر,الفعل,الحرف,option_1
7,أسئلة المبتدأ والخبر,الخبر شبه الجملة يكون:,جارًا ومجرورًا أو ظرفًا,اسمًا,فعلًا,حرفًا,option_1
